iteration,task,success
1,Mine 1 wood log,True
2,Craft 4 wooden planks,True
6,Craft 1 wooden pickaxe,False
7,Mine 1 oak log,True
9,Craft 4 wooden planks,True
10,Craft 4 jungle planks,True
11,Mine 1 jungle log,True
12,Craft 1 wooden pickaxe,True
13,Mine 3 stone blocks,True
15,Mine 1 copper ore,True
16,Mine 1 coal ore,True
18,Mine 1 copper ore,True
19,Mine 3 coal ore,True
20,Mine 1 lapis ore,True
21,Mine 1 diorite block,True
22,Mine 1 copper ore,True
26,Smelt 1 raw copper,True
27,Mine 3 copper ore,True
28,Mine 3 lapis ore,True
29,Mine 3 copper ore,True
30,Mine 1 copper ore,True
31,Mine 1 copper ore,True
32,Mine 3 copper ore,True
34,Mine 1 copper ore,True
35,Mine 3 copper ore,True
37,Mine 1 iron ore,True
38,Mine 3 iron ore,True
42,Smelt 4 raw iron,False
43,Mine 1 coal ore,True
44,Mine 3 coal ore,True
45,Mine 3 iron ore,True
49,Smelt 1 raw iron,False
50,Mine 3 iron ore,True
