iteration,task,success
1,Mine 4 wood logs,True
2,Craft 1 crafting table,True
6,Place 1 crafting table,False
10,Craft 1 wooden pickaxe,False
11,Mine 11 cobblestone,True
12,Craft 1 stone pickaxe,True
16,Craft 1 furnace,False
20,Place 1 furnace,False
21,Mine 3 iron ore,True
23,Smelt 3 iron ore,True
25,Craft 1 bucket,True
28,Locate 1 lava source block,True
32,Collect 1 lava bucket,True


obj2_data1 = [
    ("wood log", 1),
    ("crafting table", 2),
    ("crafting table", 10),
    ("wooden pickaxe", 11),
    ("stone pickaxe", 12),
    ("stone pickaxe", 20),
    ("raw iron", 21),
    ("raw iron", 22),
    ("furnace", 22.5),
    ("iron ingot", 23),
    ("iron ingot", 24),
    ("bucket", 25),
    ("bucket", 27),
    ("lava source", 28),
    ("lava source", 31),
    ("lava bucket", 32)
]
