iteration,task,success
4,Punch 1 oak_leaves to obtain sticks,False
6,Punch 1 oak_leaves to obtain sticks,True
7,Punch 1 grass_block to obtain dirt,True
11,Punch 1 stone to obtain cobblestone,False
15,Punch 1 stone to obtain cobblestone,False
16,Punch 1 stone to obtain cobblestone,True
20,Craft 1 wooden pickaxe,False
24,Craft 1 wooden pickaxe,False
28,Craft 1 wooden pickaxe,False
30,Craft 1 wooden pickaxe,True
31,Mine 3 stone with wooden pickaxe,True
33,Craft 1 stone pickaxe,True
34,Mine 3 iron_ore with stone pickaxe,True
38,Smelt 3 iron_ore to obtain iron_ingots,False
42,Smelt 3 iron_ore to obtain iron_ingots,False
46,Smelt 3 iron_ore to obtain iron_ingots,False
50,Smelt 3 iron_ore to obtain iron_ingots,False
54,Smelt 3 iron_ore to obtain iron_ingots,False
58,Smelt 3 iron_ore to obtain iron_ingots,False
62,Smelt 3 iron_ore to obtain iron_ingots,False
